Ticker,Open (INR),High (INR),Low (INR),Prev Close (INR),Last Traded Price (INR),Change (INR),% Change,Volume (Shares),Value (Billion INR),52W High (INR),52W Low (INR),30D % Change
NIFTY 50,21935.2,22060.55,21860.65,21951.15,21982.8,31.65,0.14,360165824,401.96,22297.5,16828.35,2.14
ADANIENT,3220.05,3304.75,3205.35,3219.0,3299.9,80.9,2.51,1352988,4.41,3344.0,1103.75,6.29
ADANIPORTS,1300.0,1329.9,1293.05,1299.5,1328.0,28.5,2.19,2672239,3.51,1343.0,551.95,11.21
INDUSINDBK,1451.0,1484.0,1440.0,1449.2,1479.9,30.7,2.12,4216252,6.17,1694.5,990.2,-2.96
TATACONSUM,1166.95,1199.0,1150.6,1167.95,1192.0,24.05,2.06,2722341,3.23,1205.0,686.6,5.98
BRITANNIA,4885.05,4980.9,4828.85,4887.8,4980.0,92.2,1.89,447941,2.21,5386.05,4153.0,-2.49
M&M,1902.85,1950.9,1892.55,1901.65,1932.0,30.35,1.6,5539065,10.71,1956.95,1123.4,19.26
POWERGRID,279.6,285.0,274.4,279.55,283.75,4.2,1.5,35043015,9.82,293.65,161.85,11.31
ASIANPAINT,2785.0,2838.0,2776.75,2794.35,2834.7,40.35,1.44,2284424,6.42,3568.0,2708.65,-4.48
SBIN,743.9,753.9,737.15,742.5,753.0,10.5,1.41,19217113,14.33,777.5,501.55,19.36
MARUTI,11155.0,11349.0,11129.5,11152.8,11300.0,147.2,1.32,943841,10.65,11720.0,8130.0,13.43
HCLTECH,1642.15,1677.75,1636.65,1651.9,1673.0,21.1,1.28,3532888,5.87,1697.35,1016.25,6.7
TITAN,3595.2,3654.0,3585.3,3594.7,3640.0,45.3,1.26,1692242,6.12,3886.95,2321.0,-2.98
NESTLEIND,2571.45,2606.2,2547.05,2570.9,2599.0,28.1,1.09,1387288,3.59,2769.3,1788.0,4.18
COALINDIA,444.0,444.0,429.65,434.2,438.9,4.7,1.08,11711699,5.1,487.6,207.6,8.48
SBILIFE,1540.2,1567.1,1525.4,1540.2,1555.75,15.55,1.01,1672455,2.59,1569.0,1054.0,10.98
ULTRACEMCO,9785.0,9935.0,9705.65,9804.95,9891.0,86.05,0.88,328848,3.24,10526.0,6991.0,-0.71
GRASIM,2186.0,2206.0,2157.8,2186.0,2205.0,19.0,0.87,1499473,3.28,2244.0,1527.05,3.07
